CRN,Course #,Course Title,Units,type,Days,Time,Bldg/Rm,Start-End,Instructor
30333,ANTH-001-01,Sociocultural AnthropologyMust Also Register for a Corresponding Discussion,4,LECT,TR,1:30-2:45pm,CLSSRM 120,28-AUG 12-DEC,"DeLugan, Robin"
30334,ANTH-001-02D,Sociocultural Anthropology,0,DISC,R,6:00-6:50pm,CLSSRM 288,28-AUG 12-DEC,"Bermudez, Danielle"
30335,ANTH-001-03D,Sociocultural Anthropology,0,DISC,R,7:00-7:50pm,KOLLIG 296,28-AUG 12-DEC,"Portillo-Silva, Catherine"
30336,ANTH-001-04D,Sociocultural Anthropology,0,DISC,W,3:30-4:20pm,CLSSRM 263,28-AUG 12-DEC,"Carvajal, Pedro"
31012,ANTH-001-05D,Sociocultural Anthropology,0,DISC,W,1:30-2:20pm,CLSSRM 263,28-AUG 12-DEC,"Carvajal, Pedro"
31458,ANTH-001-06D,Sociocultural Anthropology,0,DISC,F,8:30-9:20am,CLSSRM 288,28-AUG 12-DEC,"Bermudez, Danielle"
31459,ANTH-001-07D,Sociocultural Anthropology,0,DISC,F,8:30-9:20am,KOLLIG 296,28-AUG 12-DEC,"Portillo-Silva, Catherine"
30337,ANTH-005-01,Biological AnthropologyMust Also Register for a Corresponding Lab,4,LECT,MW,6:00-7:15pm,CLSSRM 105,28-AUG 12-DEC,"Jarrell, Heather"
31013,ANTH-005-02L,Biological Anthropology,0,LAB,F,8:00-8:50am,SSM 107,28-AUG 12-DEC,"Acevedo, Shannon"
31014,ANTH-005-03L,Biological Anthropology,0,LAB,F,9:00-9:50am,SSM 107,28-AUG 12-DEC,"Acevedo, Shannon"
30338,ANTH-005-04L,Biological Anthropology,0,LAB,F,10:00-10:50am,SSM 107,28-AUG 12-DEC,"Acevedo, Shannon"
30339,ANTH-005-05L,Biological Anthropology,0,LAB,F,11:00-11:50am,SSM 107,28-AUG 12-DEC,"Wilkinson, Patrick"
30340,ANTH-005-06L,Biological Anthropology,0,LAB,F,12:00-12:50pm,SSM 107,28-AUG 12-DEC,"Wilkinson, Patrick"
30341,ANTH-005-07L,Biological Anthropology,0,LAB,R,12:00-12:50pm,SSM 107,28-AUG 12-DEC,"Wilkinson, Patrick"
30342,ANTH-005-08L,Biological Anthropology,0,LAB,R,11:00-11:50am,SSM 107,28-AUG 12-DEC,"Bourgeois, Nicholas"
31015,ANTH-005-09L,Biological Anthropology,0,LAB,R,10:00-10:50am,SSB 130,18-DEC 18-DEC,"Bourgeois, Nicholas"
31460,ANTH-005-10L,Biological Anthropology,0,LAB,R,9:00-9:50am,SSM 107,28-AUG 12-DEC,"Bourgeois, Nicholas"
31461,ANTH-100-01,History of AnthropologyMust Also Register for a Corresponding Discussion,4,LECT,TR,10:30-11:45am,CLSSRM 110,28-AUG 12-DEC,"Rebhun, Linda-Anne"
31605,ANTH-100-02D,History of Anthropology,0,DISC,R,12:30-1:20pm,CLSSRM 110,18-DEC 18-DEC,"Deeming, Karen"
31606,ANTH-100-03D,History of Anthropology,0,DISC,R,9:30-10:20pm,CLSSRM 129,28-AUG 12-DEC,"Deeming, Karen"
34933,ANTH-110-01,Migration & Transntl Belonging,4,LECT,TR,7:30-8:45am,CLSSRM 279,28-AUG 12-DEC,"DeLugan, Robin"
35088,ANTH-146-01,Archaeology of Native Calif,4,LECT,MW,6:00-7:15pm,CLSSRM 110,28-AUG 12-DEC,"Hull, Kathleen"
34937,ANTH-174-01,Lithic Artifact Analysis,4,LECT,MW,1:30-2:45pm,CLSSRM 110,28-AUG 12-DEC,"Hull, Kathleen"
34939,ANTH-174-02L,Lithic Artifact Analysis,0,LAB,MW,3:00-4:15pm,SSM 107,28-AUG 12-DEC,"Ray, Erin"
34946,ANTH-190-01,Primatology,4,SEM,MW,7:30-8:45pm,CLSSRM 110,28-AUG 12-DEC,"Jarrell, Heather"
30344,ARTS-001A-01,Beginner Drawing,4,STDO,T,1:30-5:20pm,SSM 125,28-AUG 12-DEC,"Gomez, Richard"
31291,ARTS-002A-01,Beginning Vocal Instruction,4,STDO,MW,6:30-8:20pm,SSM 116,28-AUG 12-DEC,"Walsh, Lorraine"
31290,ARTS-002B-01,Intro to Choral,2,STDO,TR,8:00-9:50pm,SSM 116,18-DEC 18-DEC,"Walsh, Lorraine"
30345,ARTS-003-01,Learning to See: Painting,4,STDO,W,1:30-5:20pm,SSM 116,28-AUG 12-DEC,"Gomez, Richard"
31055,ARTS-004B-01,Introduction to Sculpture,4,STDO,T,5:30-9:20pm,SSM 125,28-AUG 12-DEC,"Lopez-Craig, Tonya"
35100,ARTS-006-01,Introduction to Music StudiesMust Also Register for a Corresponding Lab,4,LECT,MW,11:00-12:20pm,SSM 116,28-AUG 12-DEC,"Kaminsky, David"
35112,ARTS-006-02L,Introduction to Music Studies,0,LAB,F,8:00-8:50am,SSM 116,28-AUG 12-DEC,"Samuelson, Jennifer"
35113,ARTS-006-03L,Introduction to Music Studies,0,LAB,F,9:00-9:50am,SSM 116,17-DEC 17-DEC,"Samuelson, Jennifer"
35114,ARTS-006-04L,Introduction to Music Studies,0,LAB,F,11:00-11:50am,SSM 116,28-AUG 12-DEC,"Samuelson, Jennifer"
35115,ARTS-006-05L,Introduction to Music Studies,0,LAB,F,12:00-12:50pm,KOLLIG 202,19-DEC 19-DEC,"Samuelson, Jennifer"
31472,ARTS-009-01,Beginning Photography,4,STDO,T,8:30-12:20pm,SSM 116,28-AUG 12-DEC,"Bhaumik, Sita"
35098,ARTS-017-01,Music and Society,4,LECT,TR,9:00-10:50am,SSM 125,28-AUG 12-DEC,"Beaster-Jones, Jayson"
34952,ARTS-020-01,Two Dimensional Design,4,STDO,R,8:30-12:20pm,CLSSRM 127,19-DEC 19-DEC,"Ramirez, Christopher"
35106,ARTS-023-01,Multimedia Studio,4,STDO,M,8:30-12:20pm,,28-AUG 12-DEC,"Lopez-Craig, Tonya"
31540,ARTS-028-01,Meaning in Music,4,LECT,TR,1:00-2:50pm,,28-AUG 12-DEC,"Gale, Emily"
31537,ARTS-066A-01,Intro Nordic Music Ensemble,2,STDO,MW,4:00-5:20pm,CLSSRM 270,16-DEC 16-DEC,"Kaminsky, David"
31538,ARTS-066B-01,Intro Nordic Dance Ensemble,2,STDO,MW,5:00-6:20pm,,28-AUG 12-DEC,"Kaminsky, David"
34955,ARTS-102-01,Hist Clothing Cost. Fashion II,4,LECT,MWF,11:30-12:20pm,SSM 116,28-AUG 12-DEC,"Ramicova, Dunya"
31614,ARTS-141-01,Photography History,4,LECT,T,3:00-5:45pm,CLSSRM 263,13-DEC 13-DEC,"Bhaumik, Sita"
31473,ARTS-150-01,Assemblage Sculpture,4,STDO,R,1:30-5:20pm,SSM 116,28-AUG 12-DEC,"Yoshida, Kenichi"
31231,ARTS-159-01,Acrylic Painting,4,STDO,W,8:30-12:20pm,SSM 116,28-AUG 12-DEC,"Gomez, Richard"
30346,ARTS-190-01,UC Merced Chorus,2,STDO,TR,6:00-7:50pm,CLSSRM 110,28-AUG 12-DEC,"Walsh, Lorraine"
34959,BEST-219-01,Materials SimulationsMust Also Register for a CorrespondingDiscussion & Lab,3,LECT,T,2:00-2:50pm,SSM 125,28-AUG 12-DEC,"Tang, Chun"
